Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param lambda_l2,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
31,COMPLETE,0.6418918860024961,0.5670099384121878,1,0.5707936657714688,5.332329387006359,9.44103822163612,0.023160560774619268,5,41,0.525469091120943,256,41
32,COMPLETE,0.640485056408358,0.5734656820524114,1,0.5575387482844435,5.040499402060798,9.335210429514065,0.022579724196352745,5,44,0.6773362449637718,218,39
33,COMPLETE,0.6419736906744302,0.6616476947571761,2,0.5811705750523031,5.60882061933894,8.508514047897084,0.015988066306309247,7,32,0.5322165326777696,353,48
34,COMPLETE,0.6435420719927409,0.668384981789478,2,0.5640418721013176,6.049409357515697,8.424730738264936,0.016759965590074907,7,19,0.7391560236973022,374,27
35,COMPLETE,0.6428856055756236,0.737274937279186,3,0.5787334340801694,4.3922034743030345,8.261798135235136,0.016668775339218525,7,20,0.7439884340121814,324,25
36,COMPLETE,0.6425945738453845,0.8470890932137654,3,0.667797826285927,4.3880809274807,8.375323862581878,0.016673947232884543,12,11,0.7274402442847908,562,25
37,COMPLETE,0.6424967868982437,0.8356054784070595,3,0.6762691191124806,4.16578941016998,8.54208124405532,0.01643002215292235,12,9,0.991457205592971,582,26
38,COMPLETE,0.6422242701730108,0.8375769781567515,4,0.69425908198089,4.234217150595801,8.637006879076662,0.016504357104631155,24,10,0.971301928692887,609,25
39,COMPLETE,0.6432410022219721,0.8923126651496216,5,0.6623723047888632,3.531597159748983,7.024676900062912,0.01322717775596441,12,10,0.8973756643053683,558,20
40,COMPLETE,0.6423883117599052,0.9599451726671404,5,0.778032273302211,3.275044579756626,6.960197939662735,0.010078949585708014,15,19,0.8825290584138251,515,23
41,COMPLETE,0.6413410547798664,0.9029849085736529,4,0.6540000160928148,4.338876175490727,7.976953949543983,0.01814489086533921,12,11,0.7729663581218298,607,27
42,COMPLETE,0.6435761084518759,0.843645917226569,6,0.6695130306466167,2.3100065057052097,8.577318186303359,0.013744216917947525,20,5,0.9975492997078218,711,20
43,COMPLETE,0.6418798260648346,0.8981072094325341,7,0.7333226522958675,2.323305322720422,7.370556915037382,0.010094597859828719,21,7,0.9005049609879444,706,35
44,COMPLETE,0.6405233367081155,0.9939137689610095,6,0.6076201741757502,2.6017543129980845,8.165181292088121,0.019905583434401214,29,21,0.7676519804171651,843,21
45,COMPLETE,0.642828027946705,0.8307519514052554,6,0.6680674565527974,1.7970014169192368,6.655555854675124,0.014287830216722482,17,14,0.8278107877233793,443,29
46,COMPLETE,0.64329730455535,0.7326027347726216,6,0.7117838797818608,1.821571568088024,6.749137714503468,0.01271055243391182,19,15,0.8257169354199144,472,37
47,COMPLETE,0.6152934327152215,0.7424723974184658,5,0.7792588456272189,1.2604163327581972,7.199205997451725,0.07932487023109636,20,6,0.8325035971963666,746,36
48,COMPLETE,0.63833484025398,0.7971636605899802,7,0.7109937442952128,2.965088339861685,8.78588369406169,0.033343652767143336,26,23,0.9403782940925904,918,20
49,COMPLETE,0.6419528179801897,0.7288568440757566,6,0.765040692866569,1.8249156377418005,6.7909612172973866,0.013321772623701319,20,16,0.8992137392286349,321,52
50,COMPLETE,0.6405625243610026,0.7673817716844626,5,0.8389902693268722,3.7836219696961306,5.910780307455094,0.019571995134473035,10,5,0.7068449070313731,493,37
51,COMPLETE,0.6437696747380515,0.8654156179926936,6,0.6257849958675145,1.0004273242064199,6.424768677714322,0.013730389547518948,17,13,0.8259410780856309,433,28
52,COMPLETE,0.6412590929286499,0.8746811662233014,6,0.6351582202761321,1.516095732616843,6.457988346621481,0.026322223127967802,15,13,0.8752237321386451,432,30
53,COMPLETE,0.6387809436352521,0.9212594583884872,7,0.6075728946040762,1.0386494953054939,7.65814394904828,0.013293430200750005,23,18,0.7909824874360875,431,136
54,COMPLETE,0.6435800772287544,0.8104143333977784,6,0.5237951599862696,2.1164528255608674,5.962379088597034,0.020995188708852905,18,99,0.9248813314570189,465,29
55,COMPLETE,0.6433381318739323,0.7992238464846342,6,0.5208870574762853,2.188259574041876,5.788442597936321,0.02035474207492705,17,85,0.9374655126904514,470,31
56,COMPLETE,0.6425044672495389,0.8121420822574158,6,0.523554261743217,2.1038744085940904,5.740359257850205,0.019743744594401657,18,99,0.9483712864091107,467,53
57,COMPLETE,0.6414140466952213,0.8627564521347091,6,0.49360943634441456,2.4944297013679306,4.913226144676305,0.027828278564071114,28,88,0.9954974311338847,521,38
58,COMPLETE,0.640914488068935,0.8096088316189624,7,0.527492155545993,2.9256795305637913,6.246817719750631,0.03450509028699429,16,82,0.9205749923809766,413,31
59,COMPLETE,0.6394446903109461,0.7699796572656507,6,0.6038876462022056,1.8408569471093985,5.410084434057151,0.02410499096134406,32,99,0.8547567296366246,478,71
60,COMPLETE,0.6358480675335932,0.8610556081888454,6,0.6301464199578871,1.1030206720242361,3.736225213155521,0.030298856449511836,18,75,0.8113009985898658,678,46
61,COMPLETE,0.6430283100749433,0.7128339284177101,5,0.7014156638770106,2.2194340155402186,6.158224707746534,0.012640366239279149,22,94,0.9479650950386115,551,20
62,COMPLETE,0.640899266684345,0.9248135973407323,5,0.7545596038514164,1.487138073949252,5.833795231182947,0.020456399251421578,19,58,0.9237116768743391,514,29
63,COMPLETE,0.6422199298814649,0.7547157840062441,6,0.6848493381529541,3.1857250645742514,4.673874063332853,0.012006319809824903,14,91,0.871271305367716,457,34
64,COMPLETE,0.6408809160031342,0.7854454320095825,7,0.654639709413119,1.9851169274112985,6.375312455524962,0.01012203477706887,14,71,0.9643372307242861,364,41
65,COMPLETE,0.6435083284586323,0.6976251232817957,5,0.5100637845435769,2.574141069261998,6.918282306120275,0.018673364701429843,24,8,0.8102370189673407,411,27
66,COMPLETE,0.642987104097181,0.700157667634361,6,0.5133357990014646,2.7701758527450515,5.63246514213977,0.024714029480629132,24,15,0.8149917519694299,407,28
67,COMPLETE,0.6424232091328365,0.674377977891105,5,0.41814403491461805,1.4833465338984615,7.429798581677325,0.028193291719230445,28,95,0.6566025735372814,350,34
68,COMPLETE,0.6331336884956397,0.6936578268149247,6,0.47611579768094636,2.4904198041111147,5.146265749817768,0.037302241267503776,16,23,0.7438572657885758,422,94
69,COMPLETE,0.6420180473823519,0.7517509622518226,7,0.5566436142009181,6.048419063688545,6.791235820452485,0.018660876815865292,26,52,0.859818268979638,490,39
70,COMPLETE,0.6394293117470737,0.8142315753508425,4,0.5386566375450665,1.5997379241465466,6.167254656064076,0.022140430504853294,22,81,0.7950367974063579,283,117
71,COMPLETE,0.6426693340276657,0.8820078384896564,5,0.5003206738451006,3.6103531987823487,7.234683787646779,0.013787172365719287,19,13,0.903079705129779,583,25
72,COMPLETE,0.6432863341558954,0.64874718357343,5,0.5961118909774414,2.0980821936852356,6.944298799960216,0.015067146799609044,13,9,0.9811858625357839,635,23
73,COMPLETE,0.6429074570681222,0.6242889825451031,6,0.5613446393863877,2.3495856717461394,6.631776604795612,0.015692298564144787,17,8,0.9978110958783888,643,32
74,COMPLETE,0.6388799844443951,0.7036292759271416,6,0.6011456294561371,2.087232270061832,6.054429747072154,0.018298023117913533,14,6,0.968855955784724,720,81
75,COMPLETE,0.6408855992312961,0.6525967472544207,5,0.5918091329953098,1.2331189113284502,8.827078394779614,0.021574341824431173,10,12,0.9271911273272366,804,24
76,COMPLETE,0.6423865577820049,0.7196571807231092,4,0.9182415538594311,2.7481676035361664,7.873271880041496,0.015274755725380921,13,17,0.8596582867317735,645,28
77,COMPLETE,0.6430781287629256,0.6861847789314467,6,0.6203447450172473,6.835150983936182,6.459991714134522,0.024128273887749643,26,84,0.9717999189800255,527,23
78,COMPLETE,0.6341261649235342,0.6435149153514208,6,0.5401078848980886,1.9620858436069177,5.270746330238256,0.06221654074301334,20,78,0.8317666822959767,389,48
79,COMPLETE,0.6421718330210753,0.8582652138725733,5,0.5704853282233368,1.6808208910995937,6.989552466643706,0.018929300084861794,11,8,0.7551322300493342,461,40
80,COMPLETE,0.6216114897369501,0.663710323148658,7,0.6458552742976891,3.219724938434836,2.539958131913637,0.07623449702699908,15,9,0.7148774935330214,596,32
81,COMPLETE,0.6434626893106571,0.7966387202320017,5,0.7094230152556549,2.3564861489883233,6.992405280020018,0.012508392962257024,9,11,0.8954997616865592,566,20
82,COMPLETE,0.6428837051352101,0.7979101846455638,4,0.712887109018957,1.3812753414718761,6.868857331508223,0.010002540466102947,9,15,0.9180835641590428,504,28
83,COMPLETE,0.6425894333684015,0.8252247218921356,5,0.6847571401369403,2.344668476262283,7.421108402584243,0.0152431111450978,6,11,0.8862075471094274,617,23
84,COMPLETE,0.6430672905369584,0.7632919784339995,5,0.7200064397224606,1.0099344424599768,6.646769410808335,0.01753467827632524,13,20,0.9502974674860888,450,20
85,COMPLETE,0.6282105618819264,0.8491189605179708,6,0.5098403796151234,6.328345977784052,6.0081011634305534,0.08628619059763962,9,24,0.8024040520887233,535,35
86,COMPLETE,0.6430078053231136,0.7791268427999902,5,0.5862679760091535,2.663869493764908,8.075872990287296,0.012030712688511178,17,6,0.8357876399451809,663,27
87,COMPLETE,0.6415167026278575,0.8012476625737811,6,0.7480489363163877,5.8343517054955205,5.565117278405976,0.02118364055797612,18,5,0.9821213541775242,710,23
88,COMPLETE,0.642262746946871,0.822580214241425,6,0.6191578785303212,1.7650501600690522,7.139609291795377,0.014512777894222211,22,68,0.678540689473748,301,37
89,COMPLETE,0.6407941458947815,0.6400947520588738,5,0.47454029923398616,2.008041273809539,6.3646501324295155,0.02587894113171938,16,17,0.9111799213990929,567,30
90,COMPLETE,0.6411670108750058,0.6045434263485052,4,0.5263897532699502,2.9505812823163233,7.560507567372223,0.017413005388838523,19,14,0.8807004622894599,404,45
91,COMPLETE,0.642615839487831,0.8913964966581212,5,0.6533566527410405,2.4353858745815984,7.010108476112697,0.0123418559805013,12,9,0.9381209337967266,627,22
92,COMPLETE,0.6427468198415924,0.9186552611394564,5,0.6823216888336778,5.104559568622208,7.892417828664228,0.013658630872584409,11,11,0.8935758225560883,542,26
93,COMPLETE,0.6424840839544272,0.8691664494598498,6,0.6632861600199149,2.280889656345995,7.221254901819281,0.021044776612036926,9,13,0.8447913777812724,573,20
94,COMPLETE,0.6437266111869525,0.8430476061112488,6,0.5702565825310406,2.809201194336703,6.644155397622837,0.011681017159810198,13,9,0.7731984959617325,482,31
95,COMPLETE,0.6423347207691474,0.7790657353811863,6,0.5497298325269463,2.7775133941635963,6.622561287217957,0.011618702266519135,15,19,0.7712654203638329,480,32
96,COMPLETE,0.6310287506913388,0.6708875814870389,6,0.5751052745612765,3.101852516672383,5.731829175536312,0.06964040372193364,24,8,0.8105816238527774,439,35
97,COMPLETE,0.6430652900733653,0.7407874252408412,7,0.48352428690640503,3.388360331036661,7.763231604613181,0.016810062147247017,21,5,0.7296161597898702,372,42
98,COMPLETE,0.6408457149884077,0.8420087466344494,6,0.5953643138817575,8.529044040008369,6.272434916563133,0.02285836304219914,10,16,0.9627690237072588,743,30
99,COMPLETE,0.6419172275895136,0.7241590985044135,6,0.564352494642842,1.3067804437511328,8.320092588646741,0.01502889139727732,7,97,0.05031449332011528,501,27
100,COMPLETE,0.636761350608994,0.8517225215465611,6,0.5437175282144067,3.8725453272723533,9.205632937249186,0.018863806170325556,13,88,0.8656679527118136,678,147
101,COMPLETE,0.6420061874910498,0.907941878250312,5,0.6372632684780942,2.157434730710011,6.798050404574578,0.011355994565906379,17,10,0.9364668658430523,340,23
102,COMPLETE,0.6432465070691096,0.8773680140515487,5,0.7013807126491043,2.597781809515584,5.9806137571991895,0.01317726970869192,12,12,0.7846285040801271,472,26
103,COMPLETE,0.6424098131712753,0.8790675607050825,5,0.7452975667282252,2.6131793376783303,6.062151522916533,0.014104518252374921,16,21,0.7882190085198068,464,26
