Number,State,Value,Param bagging_temperature,Param border_count,Param depth,Param iterations,Param l2_leaf_reg,Param learning_rate,Param min_data_in_leaf,Param random_strength
34,COMPLETE,0.6395344289643808,0.12793509268821762,79,5,58,20.25290074345616,0.18670233898108152,78,6.026899534778851e-06
35,COMPLETE,0.6399766957422618,0.058127286585210866,66,3,501,93.06764487723758,0.026685298992955873,67,0.002193745751197669
36,COMPLETE,0.6288681785656098,0.1896949665566639,43,8,694,0.41440403802875936,0.49543278749679676,54,0.00036744365158366437
37,COMPLETE,0.634648903921706,0.06173323853992543,15,6,322,0.038655343461964385,0.006588222417577469,93,1.275922759421169e-05
38,COMPLETE,0.6343723826970302,0.20546171476929304,122,10,809,0.009184307059945008,0.06450941183768676,75,3.7154913158031465e-07
39,COMPLETE,0.6394594383715609,0.25939744171007895,4,2,473,20.647892967968975,0.08624641157104279,87,4.3932082280206864e-05
40,COMPLETE,0.6379229698059455,0.5333154563773059,75,7,925,3.926404452016097e-06,0.028457211066862043,13,0.00019713703849489182
41,COMPLETE,0.6098951388420328,0.9014677018675422,90,11,1294,0.29333610940875504,0.23848913106940656,59,2.5355190174505474e-06
42,COMPLETE,0.6407115303206409,0.004896266618991674,51,6,582,88.0501652949285,0.010544435471791385,82,0.00010109101629936327
43,COMPLETE,0.6427692750454256,0.04343628326931905,50,5,661,30.039356980964705,0.03805574991787992,83,1.8209840074962168e-05
44,COMPLETE,0.6427187061835957,0.11551171624078038,35,5,682,2.675173731471352,0.03943480596277692,71,1.6880399966276263e-05
45,COMPLETE,0.6422719597961688,0.1348463126687362,31,5,701,1.9989087646924801,0.03843267595676439,70,1.5199821186913928e-05
46,COMPLETE,0.6425543859607008,0.15514387500916868,34,5,673,2.93842581744168,0.037037027289148435,70,1.799180205499551e-05
47,COMPLETE,0.6235873690614416,0.21056145276030713,2,4,921,5.123388948910427,0.0006100397440028385,62,2.9910416226527874e-07
48,COMPLETE,0.6117772321465698,0.7240596138917582,14,5,856,19.037283867274592,1.1507106677722357e-05,50,1.5364722041900371e-06
49,COMPLETE,0.6297326199651583,0.3999861816489009,35,7,672,0.9713320264216754,0.0037912307113703338,68,8.301458200659065e-06
50,COMPLETE,0.642512386942014,0.0864270714224638,60,8,985,23.36862464180736,0.021975264570326985,77,2.937314030983809e-05
51,COMPLETE,0.632303094225636,0.1582317406744564,21,14,1054,3.4523910060371867,0.007663241809765426,66,9.097095693844599e-08
52,COMPLETE,0.6421255044276117,0.08963815983782089,61,8,1012,31.027375890869635,0.02881212031681751,74,2.612358963315791e-05
53,COMPLETE,0.6418358230102982,0.049141227652052456,64,4,783,6.768150066077769,0.020056410686919386,77,0.0011686374160406212
54,COMPLETE,0.6412977590321003,0.30639174072020364,38,9,1982,13.186235632603486,0.05048079805972268,72,2.9958070367214204e-06
55,COMPLETE,0.6385133280458222,0.1564601032157757,58,7,865,0.23222270186324098,0.14649721507608077,77,1.077646731771734e-08
56,COMPLETE,0.6372702756916038,0.2527661116564374,25,8,1653,1.0900336533497694,0.08954962930922883,86,7.78910603000953e-07
57,COMPLETE,0.6396195379735001,0.05003777668948094,39,5,1300,36.541814044528685,0.4922402504669366,80,2.5357214510778895e-05
58,COMPLETE,0.6421736048602578,0.09787955059637246,93,7,632,12.928765719731167,0.06266862474129019,72,1.1064214181079625e-05
