Number,State,Value,Param bagging_fraction,Param bagging_freq,Param colsample_bytree,Param feature_fraction,Param learning_rate,Param max_bin,Param max_depth,Param min_child_samples,Param min_child_weight,Param min_split_gain,Param num_leaves,Param reg_alpha,Param reg_lambda,Param scale_pos_weight,Param subsample,UserAttribute best_iteration
25,COMPLETE,0.6437650057989153,0.7457714388218628,7,0.720864003023308,0.4976649905846632,0.017194560143618035,323,20,84,0.024940845638536317,0.0962923873677845,14,7.973782215573979,0.013949920909601251,5.93447467492197,0.8807319581878679,742
26,COMPLETE,0.6440784963052437,0.7637263971398673,8,0.6680678422649547,0.47912356345838725,0.015777202015293892,272,17,97,0.15983005540282794,0.10768103905726882,19,6.9743969224896585,0.002992868736164053,7.802571738621185,0.9382932875209378,961
27,COMPLETE,0.6444784389891041,0.73478235920921,6,0.7459945688289008,0.49520107730768725,0.017534342833977347,426,20,108,0.0010642173080464207,0.11312894965583983,17,6.589049401894497,0.051221740815097686,1.7849897440513436,0.7300662176472069,657
28,COMPLETE,0.6438385478417584,0.7801747446270674,5,0.5780142549461129,0.4643715556073878,0.018946461239490592,446,18,91,0.006232342439409923,0.1011359970429581,16,7.09767362943376,0.7342127895115947,4.603704668140658,0.8780991505495203,818
29,COMPLETE,0.6435211171366026,0.7889121605097673,5,0.6714202955470544,0.5390009196313996,0.0152020921761664,485,16,94,0.01613803219449159,0.10555998139782563,15,8.272825309014394,0.007403809207922005,5.947554487276298,0.9454609758981082,573
30,COMPLETE,0.6444978720640089,0.7945177984122884,7,0.8052026381860108,0.5088323144036709,0.01670341491326419,77,19,87,0.05238571066980061,0.13167216786144698,14,7.471627470321749,0.10770275838709109,2.886701151547217,0.8140127471073696,807
31,COMPLETE,0.6446135131487185,0.7298416284733027,7,0.6346916573416437,0.46488623204296764,0.01731550847748566,230,24,112,0.005665866143159144,0.10153672655756817,19,7.912268129975992,0.02405328377392909,1.6649118088243566,0.5027523674114897,800
32,COMPLETE,0.6441664666917525,0.7056376139392195,7,0.7306009283862123,0.46169493172787807,0.018102348233121037,142,23,110,0.0073920612609195,0.09938773067312315,18,7.774461538405843,0.016152221539211743,2.4431879949740036,0.5667680349492218,570
33,COMPLETE,0.6437530958960233,0.7265645303222313,8,0.691069546917251,0.47669053003882655,0.018053566856475176,245,22,81,0.0021040441146692444,0.12678470944494843,19,8.122994269499328,0.035577311476878835,3.559280600194006,0.5164971476038498,547
34,COMPLETE,0.6445323872055035,0.7431565314438617,7,0.6307476814072883,0.45898962913625496,0.017242531256766693,297,24,101,0.022929877195566644,0.10600777705014662,18,8.41513251818871,0.011896657469052217,9.287210755653032,0.707143884623323,829
35,COMPLETE,0.6440102733522045,0.7123161920501277,6,0.5520263631386176,0.5487008234909536,0.018490831771934977,323,21,79,0.004220051636006721,0.10069875213000508,19,7.577609905544994,0.0787178075592787,2.1569465718359346,0.5684484547780198,465
36,COMPLETE,0.6441856247029134,0.756443938567262,8,0.6585456551549836,0.4856768585726215,0.01688127340275268,171,23,104,0.0022819548432190316,0.10890461565459948,18,7.855164817241573,0.17819727631214566,1.5441050648552785,0.6508971061248154,689
37,COMPLETE,0.6451229454917395,0.7729258327909344,7,0.611833077218364,0.4673824647042579,0.016178412808043736,357,16,82,0.04442461157876469,0.10479361601750661,17,8.106067893779546,0.7520422664591175,4.635003180870031,0.879962244022498,860
38,COMPLETE,0.6442225153949248,0.773059208975126,5,0.6089575219894838,0.4920151173350744,0.01626213619775547,361,16,82,0.03848994335989002,0.11189517451587608,16,8.531739098885986,1.6608101297434483,4.163559270886798,0.8759699003588166,757
39,COMPLETE,0.6442299063934501,0.7638077116673093,8,0.879229800785066,0.5094023350277033,0.015549662026993165,329,16,78,0.14723851661736154,0.12029659769532829,17,8.216798661263265,6.094843541549923,5.304369939867874,0.9214733076336252,609
40,COMPLETE,0.6447394137538558,0.8088718437976293,6,0.709440863430473,0.46773405110968397,0.016079150275274498,362,17,85,0.01992818279050839,0.10448622207082098,15,8.829157249090763,0.9161532743397258,4.592575071358995,0.838517940282796,800
41,COMPLETE,0.644439072723396,0.6820362120072765,7,0.6115043532483696,0.4585840467034238,0.0179042398536093,409,22,86,0.010168807426550398,0.09871461356135258,19,8.074961406968669,0.4286360455054885,3.2360730771039323,0.7598106679848894,571
42,COMPLETE,0.6444268663232213,0.794739213014539,7,0.5576495040689816,0.48265425339911444,0.016489800802981628,298,21,80,0.031051844684251904,0.09628894000375238,17,7.6823728068784,3.0265850573226483,2.6328226400092847,0.9645797987668054,609
43,COMPLETE,0.644449789492645,0.7752380171710942,7,0.6896638096093847,0.4523269174670917,0.017027044462854305,275,16,83,0.34648559194987716,0.10278580999340158,15,7.429725029116533,0.0035921170698714694,3.6376200937338745,0.803238993775897,776
44,COMPLETE,0.6443366025480933,0.7377111382100644,7,0.5892844853967935,0.47351934665368695,0.018683471701670416,344,19,92,0.009131959353677669,0.10747163852797642,16,7.276123410498764,0.03574189090372312,7.319870269521957,0.8998829826863027,728
