Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
33,COMPLETE,0.6434366761394333,0.7673340632004308,7,0.6657975225518094,4.179305955464521,0.019088531850854244,12,95,0.10368500703122996,964,15
34,COMPLETE,0.6438145244173585,0.70059425767603,7,0.6345170273085468,5.6144751611258314,0.01718369198160846,10,69,0.14422909340648793,1091,13
35,COMPLETE,0.6376496243172238,0.7887638592746978,6,0.5492483478575613,3.4228177925955503,0.0010390313861738994,15,58,0.21853055319149284,1020,16
36,COMPLETE,0.6440552587772554,0.7239046926587741,7,0.5937419703550333,8.458288168279456,0.012469527983734671,11,43,0.29657285450061166,671,19
37,COMPLETE,0.643041991817018,0.7468220602832163,5,0.5269983462683262,7.1141412383313645,0.011664377929647954,8,86,0.0019797108539594327,742,12
38,COMPLETE,0.6434897277194723,0.7990427886351209,6,0.6756616955419072,6.016315153239136,0.015967616650485655,13,77,0.38482014761258937,1141,26
39,COMPLETE,0.6432490040763448,0.7787826764137935,7,0.6108114388709704,5.022123901923938,0.016595845819447105,15,29,0.1556438343810897,776,30
40,COMPLETE,0.6426701877969492,0.7100913259630913,7,0.573978811047868,6.88292691501384,0.01379408791399963,17,6,0.43905785218745585,920,40
41,COMPLETE,0.6431851178425949,0.7206635524091156,7,0.5951362353422547,8.290338956632404,0.012666649671994705,11,44,0.3235467947133099,656,19
42,COMPLETE,0.6432744278252598,0.7257689992525846,7,0.553372525310571,8.181961122706388,0.012255274110909506,12,46,0.27799297455105293,673,16
43,COMPLETE,0.6429594226822106,0.7539983036036465,7,0.6268102715344624,8.96681694828172,0.009726348487736467,11,33,0.20584438383744186,713,17
44,COMPLETE,0.6436595885120692,0.7317962304576133,7,0.5890498790938152,8.921350218356919,0.014845603912893433,10,51,0.055287932762537344,1033,22
45,COMPLETE,0.6431966205082554,0.7614716634962428,7,0.5800171411948516,7.888719486288872,0.015353346228044948,9,44,0.5732998747501719,1079,14
46,COMPLETE,0.643277235618803,0.7401566244814686,7,0.6916017774087013,4.430010636756831,0.013375407674201548,12,37,0.10884139200211933,975,20
47,COMPLETE,0.6430333648177725,0.8692633632362753,5,0.6632386827005802,9.953288477296582,0.01768168655693164,11,22,0.24934931952474404,998,24
48,COMPLETE,0.6433823992754435,0.7065453590711511,6,0.556984387473333,8.53468330125549,0.019556397558726017,14,95,0.8972947375689909,603,35
49,COMPLETE,0.6448939888612473,0.7348840948639017,7,0.519810543786184,6.919674161691335,0.017007727869465937,10,89,0.13665828871810232,930,18
50,COMPLETE,0.6440337037820394,0.7534346998851531,7,0.48570252624331883,6.0326485834751935,0.018287236557968083,8,90,0.03607919745806819,931,11
51,COMPLETE,0.6450965322277972,0.7344146017941515,7,0.5253073663793715,6.816747636254159,0.016893802081835406,10,96,0.1403851155049098,956,18
52,COMPLETE,0.6449022693516204,0.7338907475245112,7,0.5125558831966632,6.998886641242949,0.016709660054989296,9,96,0.13563321808044093,902,17
53,COMPLETE,0.6447035197213846,0.7348175302217211,7,0.5166774887097557,6.923031302875499,0.01731180401692236,9,96,0.11629019285130482,853,17
54,COMPLETE,0.6449758506892841,0.7368996198205019,7,0.5150153967741802,6.765188472224574,0.016898855750523033,9,96,0.11963267933812677,846,17
55,COMPLETE,0.6447354449769774,0.7341018139646663,7,0.5159604566287731,6.778918216815429,0.016674445746499563,9,98,0.11411387058162963,847,17
56,COMPLETE,0.645410755046691,0.7365741779760027,7,0.5183641777834406,6.759625379995842,0.01588386500680989,9,96,0.12759123003838588,818,18
57,COMPLETE,0.6440886700915174,0.7625206400120078,7,0.5082244242323689,6.667384540905438,0.01625487351788272,10,97,0.07205572832267523,814,18
